id,SalePrice
1000,81375.01900742823
1001,116902.69984870128
1002,274713.83762879635
1003,120383.63219664611
1004,191002.85215376093
1005,170096.73453948006
1006,134815.75113558304
1007,122567.04486992607
1008,213526.33344752854
1009,104865.8125697429
1010,126848.12000015347
1011,100921.30437942142
1012,145059.85529121888
1013,114155.17655854789
1014,117618.8475302709
1015,246379.06349728114
1016,207693.71753076286
1017,225776.32753671226
1018,192692.3047585612
1019,197759.32713450934
1020,167686.77553651534
1021,204875.4859394308
1022,125307.06734525877
1023,191002.85215376093
1024,223473.57720556937
1025,127208.1724351886
1026,154050.84739188643
1027,279376.09438752336
1028,139603.93554736685
1029,123788.93872714504
1030,113165.51825775631
1031,157904.39485672867
1032,318186.2996910637
1033,240056.13159619618
1034,126194.41125460893
1035,84468.8523210406
1036,331496.3004903782
1037,233766.79915497583
1038,97591.65809890734
1039,116310.93180345904
1040,150797.29128954242
1041,182069.5546468581
1042,193143.92630221858
1043,195310.0625023568
1044,268339.00154308876
1045,150558.0766686198
1046,342585.6261817808
1047,141008.20626527566
1048,138635.47675290244
1049,110562.75814814639
1050,194245.23744685022
1051,194245.23744685022
1052,158842.58912429
1053,118034.10538868992
1054,238880.5561884637
1055,173650.83958567306
1056,207390.4778494446
1057,248368.4323352864
1058,456671.5550659887
1059,163529.63538767264
1060,231446.74422674172
1061,165969.99368087266
1062,124037.01567453948
1063,139117.74646661867
1064,156895.74800358314
1065,240813.7165215149
1066,180321.047083729
1067,167279.89900674642
1068,148104.720429342
1069,137537.9625445402
1070,133737.35558579146
1071,180316.0865589584
1072,87326.72419982376
1073,164977.14867560356
1074,245939.33230361572
1075,180320.68319181938
1076,152732.26865568734
1077,143878.85496421528
1078,163011.7362312898
1079,144685.20431718114
1080,197500.78990173351
1081,141026.6698655179
1082,188110.67789553665
1083,138355.78128592734
1084,167487.68752453683
1085,172499.95932394927
1086,122567.04486992607
1087,270045.09830535116
1088,163706.40812642322
1089,231446.74422674172
1090,128123.71254267883
1091,195756.903406199
1092,141823.73419362245
1093,144091.38537735207
1094,145762.74201385982
1095,191551.80241723673
1096,122796.83471612704
1097,223421.87079134872
1098,119984.56820980289
1099,186883.22645068628
1100,115449.12753218773
1101,114155.17655854789
1102,149846.35780959242
1103,170791.0614871659
1104,113689.14726420172
1105,273173.61382070626
1106,204841.53243206543
1107,218688.5528323797
1108,155877.81491048288
1109,301702.80070393055
1110,172608.6694470117
1111,191806.49956347496
1112,122909.14149050237
1113,144067.14569514306
1114,127337.15176659687
1115,315361.0301266934
1116,244194.1349239817
1117,161127.08139889402
1118,122962.0713848388
1119,145133.50960497203
1120,111126.01116348528
1121,258041.88358878286
1122,86587.9191441093
1123,104865.8125697429
1124,182982.38363949163
1125,115454.83862431964
1126,246669.86422914366
1127,265522.37193884194
1128,210013.77245899691
1129,138156.02116657823
1130,124152.11942824995
1131,118847.21386733864
1132,136844.8836382681
1133,236062.3245971317
1134,163133.57450485698
1135,107259.27613890024
1136,144634.83851923642
1137,113165.51825775631
1138,165953.13693631577
1139,127208.1724351886
1140,129092.05948483312
1141,181003.10265506126
1142,295270.51194018207
1143,100726.71803931566
1144,120325.38706065305
1145,113836.20489659625
1146,195059.30444755088
1147,178896.38014243683
1148,139662.0003915824
1149,164042.86570864666
1150,148380.94261531593
1151,143614.2498823634
1152,192426.7215938245
1153,148411.66890325476
1154,181510.02867226972
1155,190411.535035825
1156,174094.8193327801
1157,207390.4778494446
1158,277219.0357415123
1159,200198.52971511352
1160,166296.82995885107
1161,194488.0174116859
1162,156590.20459109184
1163,139958.72247660774
1164,168581.32223345508
1165,190625.66980555045
1166,270775.63044674677
1167,175460.85454570907
1168,156032.45313311613
1169,335194.64566324314
1170,150588.7975512816
1171,154260.96226126546
1172,199190.47560046983
1173,157575.90656467617
1174,164156.28718696136
1175,268373.06248063745
1176,133737.35558579146
1177,128770.73831698176
1178,130155.10315285236
1179,100921.30437942142
1180,189706.81903956103
1181,321649.31385833153
1182,365274.1092758698
1183,130060.35753388597
1184,157386.73833182908
1185,138335.4252443211
1186,129580.43290174584
1187,308868.6006796972
1188,195544.4898572586
1189,178439.7715606255
1190,140075.72727639377
1191,211182.43194074012
1192,119429.9228576059
1193,187308.1385846655
1194,153808.0398486074
1195,170458.2775215035
1196,267842.426867076
